t_s,R_raw,R,spo2,bpm,spo2_note,bpm_note
42.20901698199941,1.6118084253918656,1.63338436007966,97.74773096481886,49.85434467414885,ok,ok
42.446623183000156,1.5880860870383173,1.631036068380497,97.80613297937704,49.85434467414885,ok,ok
42.701604912999755,1.6072432181209915,1.6253935651114086,97.94646203567928,49.85434467414885,ok,ok
42.95823591199951,1.605921457345942,1.6197510618423205,98.0867910919815,49.87091878920256,ok,ok
43.185747767000066,1.5465743437387136,1.6182195380278352,98.12488008924774,49.87091878920256,ok,ok
43.427212859000065,1.5730541663100646,1.61668801421335,98.16296908651398,49.87091878920256,ok,ok
43.65614836500026,1.5710170162104224,1.6142482198026078,98.22364677350915,49.88750392807563,ok,ok
43.89124563199948,1.571308789332401,1.6118084253918656,98.28432446050431,49.88750392807563,ok,ok
44.12164444500013,1.701872016864999,1.61668801421335,98.16296908651398,49.93146459180735,ok,ok
44.36042547899979,1.553562921235803,1.61668801421335,98.16296908651398,49.93146459180735,ok,ok
44.61277928199979,1.5410564822905934,,,49.93146459180735,SpO2 uden for gyldigt område,ok
44.849777340999935,1.5536302788332417,1.6182195380278352,98.12488008924774,49.93146459180735,ok,ok
45.081206580999606,1.5765019208721112,1.6182195380278352,98.12488008924774,49.93146459180735,ok,ok
45.33710545299982,1.5402573267107946,,,50.033417382011315,SpO2 uden for gyldigt område,ok
45.57112140699974,1.5135282734879008,,,49.88750392807563,SpO2 uden for gyldigt område,ok
45.82889495800009,1.6326892840308729,1.631862676205685,97.78557524276462,49.88750392807563,ok,ok
46.078874633999476,1.4905400368053439,,,49.88750392807563,SpO2 uden for gyldigt område,ok
46.33630488899962,1.5073070645994813,,,49.88750392807563,SpO2 uden for gyldigt område,ok
46.56880206799997,1.4930302854758768,,,49.88750392807563,SpO2 uden for gyldigt område,ok
46.83186973800002,1.5201195899688542,,,49.87091878920256,SpO2 uden for gyldigt område,ok
47.08409088799999,1.4988440361530715,,,49.87091878920256,SpO2 uden for gyldigt område,ok
47.32043846099987,1.4745411137446554,,,49.87091878920256,SpO2 uden for gyldigt område,ok
47.57789609700012,1.476821551562115,,,49.87091878920256,SpO2 uden for gyldigt område,ok
47.8172025469994,1.5884260483671004,1.6118084253918656,98.28432446050431,49.85434467414885,ok,ok
48.07137795299968,1.600447768718108,1.6072432181209915,98.39786116533094,49.85434467414885,ok,ok
48.30871863499942,1.6049356378146118,1.605921457345942,98.43073335580642,49.85434467414885,ok,ok
48.537851356999454,1.5903482567151699,1.6049356378146118,98.4552506875506,49.85434467414885,ok,ok
48.799443423999946,1.6079651802644468,1.6049356378146118,98.4552506875506,49.85434467414885,ok,ok
49.03213621499981,1.6464287534006266,1.6049356378146118,98.4552506875506,49.85434467414885,ok,ok
49.26940437699977,1.609570278380003,1.6049356378146118,98.4552506875506,49.85434467414885,ok,ok
49.52331198399952,1.6129757924233137,1.6049356378146118,98.4552506875506,49.85434467414885,ok,ok
49.759347371999866,1.6114511581250235,1.6049356378146118,98.4552506875506,49.85434467414885,ok,ok
50.01342395199936,1.6092034967443194,1.6049356378146118,98.4552506875506,49.85434467414885,ok,ok
50.27039187099945,1.6095256223108945,1.6049356378146118,98.4552506875506,49.85434467414885,ok,ok
50.52829375500005,1.6423385004249755,1.605921457345942,98.43073335580642,49.85434467414885,ok,ok
50.7657581149997,1.652357532152463,1.605921457345942,98.43073335580642,49.85434467414885,ok,ok
51.022541018000084,1.6817839994485786,1.6079651802644468,98.3799059668232,49.85434467414885,ok,ok
51.28314570400016,1.7189141961777894,1.6092034967443194,98.34910903596878,49.85434467414885,ok,ok
51.535225683000135,1.68471454896055,1.6095256223108945,98.34109777312806,49.85434467414885,ok,ok
51.775454286999775,1.6783247364854013,1.609570278380003,98.33998717668933,49.85434467414885,ok,ok
52.00650270299957,1.677411419044705,1.6114511581250235,98.29320969743067,49.85434467414885,ok,ok
52.270130111999606,1.6985081332131613,1.6114511581250235,98.29320969743067,49.85434467414885,ok,ok
52.50004809300026,1.6347789459896909,1.6129757924233137,98.25529204243219,49.85434467414885,ok,ok
52.76139067999975,1.6360513226864268,1.6228325382270934,98.01015477429219,49.85434467414885,ok,ok
52.993283535000046,1.6511785204519742,1.6337341150102818,97.7390325596943,49.85434467414885,ok,ok
53.23021388399957,1.637727140793822,1.635415134338059,97.69722560901248,49.85434467414885,ok,ok
53.48144693699942,1.6118674054085196,1.6347789459896909,97.7130476132364,49.725227447262256,ok,ok
53.74248009999974,1.6095091890533653,1.6337341150102818,97.7390325596943,49.725227447262256,ok,ok
53.97223134500018,1.6162651810220587,1.625522063505875,97.9432662806089,49.725227447262256,ok,ok
54.23842213399985,1.5854675090568204,1.6162651810220587,98.1734849479814,49.725227447262256,ok,ok
54.46985811899958,1.5435450922677347,1.614620486722686,98.2143884952068,49.725227447262256,ok,ok
54.72649686299974,1.6279259895384999,1.6162651810220587,98.1734849479814,49.725227447262256,ok,ok
54.95781445499961,1.629280495209583,1.6220955852802792,98.02848279407945,49.85434467414885,ok,ok
55.21514807999938,1.5938022984683111,1.6162651810220587,98.1734849479814,49.85434467414885,ok,ok
55.466618227000254,1.610093505704949,1.614620486722686,98.2143884952068,49.85434467414885,ok,ok
55.71809906699946,1.6483641945978378,1.6162651810220587,98.1734849479814,49.85434467414885,ok,ok
55.97351631199945,1.612382600022724,1.6162651810220587,98.1734849479814,49.85434467414885,ok,ok
56.231742998999835,1.612581790217571,1.6162651810220587,98.1734849479814,49.85434467414885,ok,ok
56.46394146900002,1.620002774156563,1.620002774156563,98.08053100672629,49.85434467414885,ok,ok
56.69929849900018,1.6153703475904624,1.620002774156563,98.08053100672629,49.85434467414885,ok,ok
56.931239018999804,1.652310441045428,1.6279259895384999,97.88348064017751,49.85434467414885,ok,ok
57.184622185999615,1.6004755828772341,1.620002774156563,98.08053100672629,49.85434467414885,ok,ok
57.435291460999906,1.6182082735860575,1.620002774156563,98.08053100672629,49.85434467414885,ok,ok
57.67228410899952,1.617694809917753,1.620002774156563,98.08053100672629,49.85434467414885,ok,ok
57.90561113500007,1.600333768615623,1.620002774156563,98.08053100672629,49.85434467414885,ok,ok
58.16562788600004,1.5706675392390386,1.620002774156563,98.08053100672629,49.85434467414885,ok,ok
58.39887273000022,1.5902589170959311,1.620002774156563,98.08053100672629,49.79627974708121,ok,ok
58.65852629900019,1.5804549416115143,1.6182082735860575,98.12516023591476,49.79627974708121,ok,ok
58.91064725199976,1.5719884573494174,1.617694809917753,98.13793007734549,49.79627974708121,ok,ok
59.16582148099951,1.5552082500269033,1.6162651810220587,98.1734849479814,49.79627974708121,ok,ok
59.39776738599994,1.545131326415015,1.6153703475904624,98.19573945542521,49.79627974708121,ok,ok
59.65416849400026,1.5435544842384537,1.612581790217571,98.26509087728901,49.79627974708121,ok,ok
59.88568982400011,1.553285587368944,1.612382600022724,98.27004473743486,49.79627974708121,ok,ok
60.119219479000094,1.5437959666500396,1.6118674054085196,98.28285762749013,49.79627974708121,ok,ok
60.35033664799994,1.5531705172065609,1.610093505704949,98.32697451311792,49.79627974708121,ok,ok
60.605063709000206,1.5460639381455625,1.6095091890533653,98.34150646824281,49.79627974708121,ok,ok
60.85399058299936,1.5445687474024226,1.6004755828772341,98.56617225384319,49.73834991810971,ok,ok
61.10938794899994,1.5690792043558548,1.600333768615623,98.56969917452946,49.73834991810971,ok,ok
61.34035957800006,1.515597999148824,,,49.73834991810971,SpO2 uden for gyldigt område,ok
61.601735823000126,1.5415737260799665,,,49.73834991810971,SpO2 uden for gyldigt område,ok
61.85596824200002,1.574347127001083,1.5902589170959311,98.82026073182419,49.73834991810971,ok,ok
62.09126830999958,1.576309375746462,1.5854675090568204,98.93942304975687,49.73834991810971,ok,ok
62.32159656600015,1.5746284352212234,1.5804549416115143,99.06408560212165,49.73834991810971,ok,ok
62.56035514099949,1.5669963803208289,1.5804549416115143,99.06408560212165,49.73834991810971,ok,ok
62.818078129999776,1.545739329864803,1.576309375746462,99.1671858251855,49.73834991810971,ok,ok
63.0725262649994,1.5754479804186496,1.5754479804186496,99.18860872698818,49.73834991810971,ok,ok
63.303877205999925,1.598405941033348,1.5754479804186496,99.18860872698818,49.73834991810971,ok,ok
63.56001764899975,1.5334963274909945,,,49.73834991810971,SpO2 uden for gyldigt område,ok
63.791408320999835,1.5460519981809542,1.574487781111153,99.21248888376562,49.59677729134853,ok,ok
64.05062549200011,1.5503276544660183,1.57316779217525,99.24531700860153,49.59677729134853,ok,ok
64.30326461999994,1.5393918586132995,,,49.59677729134853,SpO2 uden for gyldigt område,ok
64.54138531900026,1.5552465196277054,1.5706675392390386,99.30749829912511,49.59677729134853,ok,ok
64.77354730299976,1.4985522598695926,,,49.54655326823336,SpO2 uden for gyldigt område,ok
65.0132017879996,1.558615458151531,1.568037792338342,99.37290010454544,49.54655326823336,ok,ok
65.24530528000014,1.5234406595489969,,,49.49643086062088,SpO2 uden for gyldigt område,ok
65.50754959799997,1.4994141188510566,,,49.49643086062088,SpO2 uden for gyldigt område,ok
65.76480869700026,1.5072759804514322,,,49.49643086062088,SpO2 uden for gyldigt område,ok
66.02355378099946,1.4776105488321942,,,49.49643086062088,SpO2 uden for gyldigt område,ok
66.25733638499969,1.4224142728091207,,,49.49643086062088,SpO2 uden for gyldigt område,ok
66.49729778399978,1.4027576026776432,,,49.49643086062088,SpO2 uden for gyldigt område,ok
66.75056662599945,1.3967772775902108,,,49.49643086062088,SpO2 uden for gyldigt område,ok
66.98746833299992,1.413706282510483,,,49.36302526049452,SpO2 uden for gyldigt område,ok
67.24458327199955,1.409918603011197,,,49.469475513745046,SpO2 uden for gyldigt område,ok
67.47950895199938,1.4284360928485762,,,49.442549510207,SpO2 uden for gyldigt område,ok
67.71352766499967,1.3729179053134075,,,49.469475513745046,SpO2 uden for gyldigt område,ok
67.95435998799985,1.39567752848612,,,49.442549510207,SpO2 uden for gyldigt område,ok
68.20883794299971,1.3956654892785234,,,49.442549510207,SpO2 uden for gyldigt område,ok
68.46840085099939,1.3991556113698018,,,49.442549510207,SpO2 uden for gyldigt område,ok
68.72024683899963,1.3676762959801312,,,49.3231247836974,SpO2 uden for gyldigt område,ok
68.95941902899995,1.3876059355250523,,,49.3231247836974,SpO2 uden for gyldigt område,ok
69.1939840519999,1.37835571465619,,,49.3231247836974,SpO2 uden for gyldigt område,ok
69.4527185349998,1.3775647253737233,,,49.3231247836974,SpO2 uden for gyldigt område,ok
69.68388276299993,1.3559269246572232,,,49.38276494441117,SpO2 uden for gyldigt område,ok
69.94548142700023,1.382127526193001,,,49.38276494441117,SpO2 uden for gyldigt område,ok
70.19737602700025,1.3915714662798802,,,49.38276494441117,SpO2 uden for gyldigt område,ok
70.4566473119994,1.4094991017531695,,,49.36313688226508,SpO2 uden for gyldigt område,ok
70.71117417699952,1.3932590434071206,,,49.36313688226508,SpO2 uden for gyldigt område,ok
70.97422644699964,1.397038650921056,,,49.40281128326774,SpO2 uden for gyldigt område,ok
71.23166332300025,1.3733383135432329,,,49.40281128326774,SpO2 uden for gyldigt område,ok
71.47007099599978,1.381174873137622,,,49.40281128326774,SpO2 uden for gyldigt område,ok
71.72425931399994,1.4079612086922575,,,49.36313688226508,SpO2 uden for gyldigt område,ok
